tis1099_district_code,parent_province_tis1099_code,name_en,name_th,centroid_lat,centroid_lon,area_km2,bbox_minlat,bbox_minlon,bbox_maxlat,bbox_maxlon,num_tambon,postal_code_prefixes,notes
7304,73,Don Tum,ดอนตูม,13.9539,100.08988,148.6,13.87184,100.01924,14.04314,100.17514,8,7315,
7305,73,Bang Len,บางเลน,14.04856,100.18171,533.9,13.89233,100.06343,14.17921,100.28598,15,7313|7319,
7306,73,Sam Phran,สามพราน,13.72488,100.21789,229.4,13.66029,100.06027,13.80166,100.33746,16,7311|7316|7321|7322,
7307,73,Phutthamonthon,พุทธมณฑล,13.83009,100.28525,81.5,13.76309,100.24788,13.9045,100.3301,3,7317,
7401,74,Mueang Samut Sakhon,เมืองสมุทรสาคร,13.53105,100.24496,475.8,13.42533,100.05316,13.6405,100.40884,18,7400,
7402,74,Krathum Baen,กระทุ่มแบน,13.6575,100.27014,127.5,13.60449,100.17135,13.71972,100.35024,10,7411|7413,
7403,74,Ban Phaeo,บ้านแพ้ว,13.59462,100.11112,278.3,13.4858,100.02952,13.68063,100.2279,12,7412,
7501,75,Mueang Samut Songkhram,เมืองสมุทรสงคราม,13.40114,100.00126,170.6,13.28381,99.9312,13.50778,100.07878,11,7500,
7502,75,Bang Khonthi,บางคนที,13.48436,99.95055,63.6,13.4492,99.88916,13.51048,100.02627,13,7512,
7503,75,Amphawa,อัมพวา,13.37016,99.91399,179.5,13.24646,99.85595,13.47755,100.01436,12,7511,
7601,76,Mueang Phetchaburi,เมืองเพชรบุรี,13.06871,99.9827,283.2,12.95419,99.84591,13.18066,100.07933,24,7600|7610,
7602,76,Khao Yoi,เขาย้อย,13.24383,99.8084,326.5,13.11765,99.68824,13.34341,99.9024,10,7614,
7603,76,Nong Ya Plong,หนองหญ้าปล้อง,13.1286,99.46632,1251.5,12.97558,99.09953,13.30037,99.79586,4,7616,
7604,76,Cha-Am,ชะอำ,12.75773,99.90129,519.0,12.61887,99.75476,12.91702,100.02691,9,7612,
7605,76,Tha Yang,ท่ายาง,12.81908,99.7927,770.6,12.61887,99.61422,13.01549,100.03754,12,7613,
7606,76,Ban Lat,บ้านลาด,13.05137,99.84408,256.6,12.97615,99.7345,13.13016,99.96414,18,7615,
7607,76,Ban Laem,บ้านแหลม,13.18203,99.97669,202.2,13.02038,99.88375,13.29662,100.07933,10,7610|7611,
7608,76,Kaeng Krachan,แก่งกระจาน,12.85911,99.46381,2621.3,12.56369,99.1656,13.14335,99.78303,6,7617,
7701,77,Mueang Prachuap Khiri Khan,เมืองประจวบคีรีขันธ์,11.87287,99.7242,851.1,11.65558,99.58811,12.04341,99.90951,6,7700|7721,
7702,77,Kui Buri,กุยบุรี,12.11397,99.73897,878.5,11.97753,99.53619,12.24404,100.01975,6,7715,
7703,77,Thap Sakae,ทับสะแก,11.54362,99.56999,557.8,11.40502,99.41956,11.68826,99.71539,6,7713,
7704,77,Bang Saphan,บางสะพาน,11.28345,99.43994,816.8,11.12791,99.26699,11.47604,99.59942,7,7714|7719|7723,
7705,77,Bang Saphan Noi,บางสะพานน้อย,11.06185,99.33936,676.8,10.95477,99.15378,11.2192,99.50256,5,7717,
7706,77,Pran Buri,ปราณบุรี,12.39119,99.73405,616.2,12.3227,99.42501,12.46978,99.99419,6,7712|7722,
7707,77,Hua Hin,หัวหิน,12.51515,99.70917,1173.7,12.34499,99.42501,12.64074,99.98333,7,7711,
7708,77,Sam Roi Yot,สามร้อยยอด,12.26091,99.72632,902.2,12.13575,99.44354,12.35133,100.01975,5,7712|7718,
8001,80,Mueang Nakhon Si Thammarat,เมืองนครศรีธรรมราช,8.43393,99.97041,518.9,8.24814,99.79821,8.58692,100.08898,16,8000|8028|8029|8033,
8002,80,Phrom Khiri,พรหมคีรี,8.53931,99.81064,254.6,8.46965,99.70959,8.62014,99.94674,5,8032,
8003,80,Lan Saka,ลานสกา,8.37717,99.77606,333.0,8.25961,99.69655,8.49422,99.86844,5,8023,
8004,80,Chawang,ฉวาง,8.47511,99.5279,430.2,8.34804,99.41778,8.64674,99.70189,10,8015|8025|8026,
8005,80,Phipun,พิปูน,8.6,99.59955,490.5,8.48316,99.47846,8.71929,99.7335,5,8027,
8006,80,Chian Yai,เชียรใหญ่,8.12522,100.15194,337.2,8.01096,100.05279,8.22935,100.25776,10,8019,
8007,80,Cha-Uat,ชะอวด,7.9579,99.98737,813.3,7.83806,99.7379,8.12639,100.1775,11,8018,
8008,80,Tha Sala,ท่าศาลา,8.69429,99.88482,411.0,8.54343,99.75822,8.87025,99.9781,10,8016,
8009,80,Thung Song,ทุ่งสง,8.11808,99.6611,915.4,7.86089,99.43351,8.30155,99.82695,13,8011|8031,
8010,80,Na Bon,นาบอน,8.27204,99.55354,206.2,8.19736,99.47275,8.36471,99.67456,3,8022,
8011,80,Thung Yai,ทุ่งใหญ่,8.28396,99.37489,643.2,8.10985,99.2345,8.47073,99.48019,7,8024,
8012,80,Pak Phanang,ปากพนัง,8.30856,100.1625,513.0,8.17126,100.01905,8.50379,100.2951,18,8014|8033,
8013,80,Ron Phibun,ร่อนพิบูลย์,8.19225,99.89522,463.6,8.06841,99.75731,8.30625,100.02765,6,8013|8035,
8014,80,Sichon,สิชล,8.95,99.80856,704.7,8.81157,99.64189,9.12141,99.92081,9,8012|8034,
8015,80,Khanom,ขนอม,9.1918,99.81154,296.3,9.08994,99.71988,9.3228,99.90945,3,8021,
8016,80,Hua Sai,หัวไทร,8.00858,100.24643,418.9,7.87648,100.13998,8.17781,100.33657,11,8017,
8017,80,Bang Khan,บางขัน,7.99796,99.47979,481.6,7.87466,99.36522,8.144,99.60284,4,8036,
8018,80,Tham Phannara,ถ้ำพรรณรา,8.46854,99.37985,165.0,8.41208,99.29343,8.55224,99.4527,3,8026,
8019,80,Chulabhorn,จุฬาภรณ์,8.06998,99.85702,183.6,8.01321,99.77117,8.13758,99.96106,6,8013|8018,
8020,80,Phra Phrom,พระพรหม,8.32481,99.93249,156.5,8.25347,99.8601,8.3916,100.00274,4,8000,
8021,80,Nopphitam,นบพิตำ,8.75343,99.67697,733.0,8.59736,99.52163,8.92777,99.84495,4,8016,
8022,80,Chang Klang,ช้างกลาง,8.3606,99.6314,280.4,8.29014,99.51942,8.45518,99.72071,3,8025,
8023,80,Chaloem Phra Kiet,เฉลิมพระเกียรติ,8.17864,100.04839,144.0,8.05313,99.94211,8.26665,100.12502,4,8019|8029,
